"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.718981250E0,-2.458226234E-1,-2.286449820E-1,-5.297822356E-1
1.728995250E0,-1.601153612E-1,-1.504542679E-1,-5.382256508E-1
1.739009250E0,-1.060651913E-1,-5.072368681E-2,-5.370600224E-1
1.749022250E0,-8.454376459E-2,4.520620778E-2,-5.324644446E-1
1.759036250E0,-9.310501814E-2,1.290728748E-1,-5.343305469E-1
1.769050250E0,-1.272135526E-1,1.854662299E-1,-5.417202115E-1
1.779063250E0,-1.777707189E-1,1.853546351E-1,-5.383236408E-1
1.789077250E0,-2.317530364E-1,2.040249258E-1,-5.359709263E-1
1.799091250E0,-2.699449062E-1,1.898779422E-1,-5.615004897E-1
1.809104250E0,-2.967687845E-1,1.237118095E-1,-5.954274535E-1
1.819118250E0,-2.962478697E-1,7.920558751E-2,-6.190563440E-1
1.829132250E0,-2.676750124E-1,5.628223345E-2,-6.219505668E-1
1.839145250E0,-2.331910729E-1,6.388528645E-2,-5.886352062E-1
1.849159250E0,-1.923907399E-1,9.420098364E-2,-5.380729437E-1
1.859172250E0,-1.537576020E-1,1.301760375E-1,-4.851141572E-1
1.869186250E0,-1.205331013E-1,1.258421987E-1,-4.310238659E-1
1.879200250E0,-9.180798382E-2,9.867370129E-2,-3.835817873E-1
1.889213250E0,-5.450951308E-2,4.330282658E-2,-3.416914642E-1
1.899227250E0,5.785059184E-4,-3.236980643E-3,-3.089007735E-1
1.909241250E0,6.026371941E-2,-3.897826001E-2,-2.804389298E-1
1.919254250E0,1.133961827E-1,-3.123591840E-2,-2.425107211E-1
1.929268250E0,1.565289199E-1,2.291212790E-2,-1.986863762E-1
1.939282250E0,1.842111498E-1,8.675262332E-2,-1.467262357E-1
1.949295250E0,1.931175441E-1,1.445567012E-1,-1.098374203E-1
1.959309250E0,1.978281438E-1,1.756016910E-1,-8.373577893E-2
1.969323250E0,2.218181044E-1,2.066349238E-1,-6.817889214E-2
1.979336250E0,2.638584971E-1,2.642268538E-1,-4.044952244E-2
1.989350250E0,3.085524440E-1,3.468751907E-1,5.783122499E-3
1.999364250E0,3.580526114E-1,5.036008954E-1,7.845386863E-2
2.009377250E0,3.737960756E-1,6.696532369E-1,1.929672509E-1
2.019391250E0,3.541685641E-1,7.800607085E-1,3.041283786E-1
2.029405250E0,3.035377264E-1,7.781105042E-1,3.866280913E-1
2.039418250E0,2.364521921E-1,6.637778282E-1,4.361924529E-1
2.049432250E0,1.895112246E-1,4.833916426E-1,4.536724389E-1
2.059446250E0,1.440806389E-1,2.701848447E-1,4.458321035E-1
2.069459250E0,7.614663243E-2,6.095766276E-2,4.247288108E-1
2.079473250E0,-3.705342487E-2,-1.213647351E-1,3.960356712E-1
2.089487250E0,-2.109503448E-1,-2.659266591E-1,3.550117314E-1
2.099500250E0,-4.404610395E-1,-3.927378654E-1,2.901712358E-1
2.109514250E0,-6.588048339E-1,-4.748005569E-1,2.098466009E-1
2.119528250E0,-7.917911410E-1,-4.722135663E-1,1.431882083E-1
2.129541250E0,-8.118180037E-1,-3.575810492E-1,1.247671843E-1
2.139555250E0,-7.197253704E-1,-1.111409143E-1,1.846941710E-1
2.149569250E0,-5.446075797E-1,2.064958811E-1,3.109776378E-1
2.159582250E0,-3.320777416E-1,4.683096409E-1,4.704956710E-1
2.169596250E0,-1.340281367E-1,5.937635303E-1,6.016033292E-1
2.179610250E0,2.657353319E-2,5.767619610E-1,6.846588254E-1
2.189623250E0,1.388847977E-1,4.677262604E-1,7.186312675E-1
2.199637250E0,1.736196131E-1,2.873900533E-1,7.566832900E-1
2.209651250E0,1.812940240E-1,1.712638885E-1,7.415803075E-1
2.219664250E0,1.465666741E-1,2.994910255E-2,6.850158572E-1
2.229678250E0,7.273556292E-2,-1.161489263E-1,6.272174120E-1
2.239691250E0,-1.341130771E-2,-2.290323377E-1,5.564407110E-1
2.249705250E0,-1.035075486E-1,-3.301751912E-1,4.681588411E-1
2.259719250E0,-1.912105083E-1,-4.113129377E-1,3.655057251E-1
2.269732250E0,-2.614412904E-1,-4.434525669E-1,2.602050304E-1
2.279746250E0,-3.132424653E-1,-4.075955153E-1,1.687337309E-1
2.289760250E0,-3.478456140E-1,-3.158175051E-1,9.863340110E-2
2.299773250E0,-3.588863015E-1,-1.826599836E-1,4.236479849E-2
2.309787250E0,-3.696564138E-1,-2.519399859E-2,2.151769958E-2
2.319801250E0,-3.779076934E-1,1.231821626E-1,2.636199072E-2
2.329814250E0,-3.821169734E-1,2.506916523E-1,4.526081681E-2
2.339828250E0,-3.826227188E-1,3.276205361E-1,5.779098719E-2
2.349842250E0,-3.742480278E-1,3.436661363E-1,6.747808307E-2
2.359855250E0,-3.427790403E-1,3.231696486E-1,7.856322080E-2
2.369869250E0,-2.989291251E-1,2.618197203E-1,8.398332447E-2
2.379883250E0,-2.402572781E-1,1.789352298E-1,9.187826514E-2
2.389896250E0,-1.699444503E-1,9.518196434E-2,9.470636398E-2
2.399910250E0,-9.347099066E-2,2.771370485E-2,1.082501337E-1
2.409924250E0,-1.731736585E-2,-2.062692866E-2,1.359550059E-1
2.419937250E0,5.855315924E-2,-5.353055149E-2,1.789653301E-1
2.429951125E0,1.247213632E-1,-7.799022645E-2,2.327665240E-1
2.439965125E0,2.025450468E-1,-7.512599975E-2,2.733480334E-1
2.449978125E0,2.738583982E-1,-4.580942169E-2,2.973632514E-1
2.459992125E0,3.239974678E-1,-1.179978624E-2,3.076246679E-1
2.470006125E0,3.362289965E-1,-5.917386152E-3,3.082142770E-1
2.480019125E0,3.035240471E-1,-2.332460508E-2,2.993738949E-1
2.490033125E0,2.536668181E-1,-5.709935725E-2,2.807030380E-1
2.500047125E0,2.166065276E-1,-8.841227740E-2,2.574043870E-1
2.510060125E0,2.062475085E-1,-1.255490333E-1,2.279886901E-1
2.520074125E0,2.132292539E-1,-1.865537912E-1,1.882127821E-1
2.530087125E0,2.385452539E-1,-2.488070428E-1,1.415235847E-1
2.540101125E0,2.655552924E-1,-2.965759039E-1,9.255044162E-2
2.550115125E0,2.684137523E-1,-3.029946387E-1,4.913937673E-2
2.560128125E0,2.486757487E-1,-2.697839737E-1,1.359363459E-2
2.570142125E0,1.935393810E-1,-2.091011256E-1,-2.066453919E-2
2.580156125E0,1.439950168E-1,-1.040551439E-1,-5.029993132E-2
2.590169125E0,1.019325629E-1,3.958705813E-2,-5.588532239E-2
2.600183125E0,9.049348533E-2,2.125076950E-1,-1.885033958E-2
2.610197125E0,1.254420877E-1,3.994252980E-1,4.843916371E-2
2.620210125E0,1.624912024E-1,5.049589276E-1,1.057032496E-1
2.630224125E0,1.754466891E-1,5.110077858E-1,1.516105533E-1
2.640238125E0,1.577228010E-1,4.368160963E-1,1.755547673E-1
2.650251125E0,8.216425776E-2,2.824135125E-1,1.585070193E-1
2.660265125E0,-4.457211494E-2,5.196274072E-2,9.082303196E-2
2.670279125E0,-1.959646940E-1,-1.975994706E-1,-2.415301464E-2
2.680292125E0,-3.567455709E-1,-4.434814155E-1,-1.753358692E-1
2.690306125E0,-5.177491903E-1,-6.491916180E-1,-3.352685571E-1
2.700320125E0,-6.388306022E-1,-7.830676436E-1,-4.701544940E-1
2.710333125E0,-6.483629942E-1,-7.916656733E-1,-5.631273985E-1
2.720347125E0,-5.095995069E-1,-5.996112823E-1,-5.837157369E-1
2.730360125E0,-2.753517032E-1,-2.189452946E-1,-5.185514688E-1
2.740374125E0,-8.794312365E-3,1.933749020E-1,-3.960314691E-1
2.750388125E0,2.136438936E-1,4.757888317E-1,-2.825985551E-1
2.760401125E0,3.573693633E-1,5.667813420E-1,-2.239275128E-1
2.770415125E0,4.344082773E-1,5.002645850E-1,-2.030088156E-1
2.780429125E0,4.683273733E-1,3.180929124E-1,-2.083140910E-1
2.790442125E0,4.743157327E-1,9.689712524E-2,-2.226319611E-1
2.800456125E0,4.641658962E-1,-8.014529198E-2,-2.299013287E-1
2.810470125E0,4.352242649E-1,-1.675331891E-1,-2.363602966E-1
2.820483125E0,3.890990615E-1,-1.818191111E-1,-2.484060377E-1
2.830497125E0,3.089677393E-1,-1.507325619E-1,-2.764027715E-1
2.840511125E0,1.914579123E-1,-1.052697301E-1,-3.314639032E-1
2.850524125E0,3.951369971E-2,-5.512301624E-2,-4.047429860E-1
2.860538125E0,-1.320023984E-1,-8.796796203E-3,-4.766379595E-1
2.870552125E0,-2.968927920E-1,3.229465336E-2,-5.275298357E-1
2.880565125E0,-4.264310598E-1,7.348975539E-2,-5.621637106E-1
2.890579125E0,-5.069209933E-1,1.016439572E-1,-5.730510354E-1
2.900593125E0,-5.205611587E-1,9.911128879E-2,-5.573687553E-1
2.910606125E0,-4.746936858E-1,7.334134728E-2,-5.223124623E-1
2.920620125E0,-3.803608119E-1,3.879055381E-2,-4.778203666E-1
2.930633125E0,-2.682698667E-1,-1.267715916E-2,-4.355408549E-1
2.940647125E0,-1.655656099E-1,-8.619344980E-2,-4.014225602E-1
2.950661125E0,-9.680680931E-2,-1.301660389E-1,-3.831539452E-1
2.960674125E0,-6.820552796E-2,-1.375978589E-1,-3.639304638E-1
2.970688125E0,-6.961904466E-2,-9.419166297E-2,-3.418925107E-1
