"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.724103125E0,1.556463318E0,2.069147186E0,1.228495331E1
2.734116125E0,1.784588928E0,1.664688263E0,1.176298874E1
2.744130125E0,1.819316711E0,1.370699615E0,1.119252502E1
2.754144125E0,1.531016235E0,1.213975525E0,1.076381653E1
2.764157125E0,1.081201630E0,1.133442993E0,1.035262161E1
2.774171125E0,8.232879639E-1,1.036444702E0,9.792336731E0
2.784185125E0,6.451583862E-1,9.952803040E-1,9.278904419E0
2.794198125E0,5.113366699E-1,1.056952057E0,8.807684326E0
2.804212125E0,5.063969421E-1,1.157093811E0,8.310717773E0
2.814225125E0,6.262976074E-1,1.254391479E0,7.807314606E0
2.824239125E0,7.596702576E-1,1.313219147E0,7.416177979E0
2.834253125E0,8.521778870E-1,1.375489655E0,7.131769409E0
2.844266125E0,8.607101440E-1,1.459165649E0,6.921756134E0
2.854280125E0,8.310717773E-1,1.560055847E0,6.745273132E0
2.864294125E0,7.204518127E-1,1.707499237E0,6.630312195E0
2.874307125E0,5.453160095E-1,1.850152588E0,6.607110443E0
2.884321125E0,3.492237854E-1,1.932481384E0,6.643035736E0
2.894335125E0,1.496887207E-1,1.980830841E0,6.755152588E0
2.904348125E0,4.640350342E-2,1.998793488E0,6.906637573E0
2.914362125E0,-9.580078125E-3,2.009870453E0,7.088359680E0
2.924376125E0,-5.777984619E-2,2.045646057E0,7.210805054E0
2.934389125E0,-9.595046997E-2,2.100731506E0,7.292834473E0
2.944403125E0,-1.404080200E-1,2.187251587E0,7.390730896E0
2.954417125E0,-1.847158813E-1,2.295626221E0,7.378606110E0
2.964430125E0,-1.895059204E-1,2.419269104E0,7.310198364E0
2.974444125E0,-2.305206299E-1,2.570005646E0,7.229665833E0
2.984458125E0,-2.646496582E-1,2.688110046E0,7.223229218E0
2.994471125E0,-2.887495422E-1,2.811453552E0,7.266339569E0
3.004485125E0,-2.556683350E-1,2.944526825E0,7.285050659E0
3.014498125E0,-2.341131592E-1,3.060086517E0,7.339836731E0
3.024512125E0,-2.356100464E-1,3.190166016E0,7.491770782E0
3.034526125E0,-2.487826538E-1,3.329376526E0,7.636669464E0
3.044539125E0,-2.525248718E-1,3.486849060E0,7.802524567E0
3.054553125E0,-3.056643677E-1,3.615581360E0,7.921377411E0
3.064567125E0,-3.724255371E-1,3.667074280E0,8.136779480E0
3.074580125E0,-5.298980713E-1,3.673660583E0,8.440797272E0
3.084594125E0,-6.444099426E-1,3.579805756E0,8.779842224E0
3.094608125E0,-7.638615417E-1,3.439846802E0,9.290729828E0
3.104621125E0,-9.047186279E-1,3.312312012E0,9.793683929E0
3.114635125E0,-9.126521301E-1,3.169658661E0,1.027358597E1
3.124649125E0,-9.243278503E-1,3.018473053E0,1.085572540E1
3.134662125E0,-8.851094055E-1,2.820135498E0,1.139729919E1
3.144676125E0,-9.241781616E-1,2.749482422E0,1.193932205E1
3.154690125E0,-9.451345825E-1,2.762205963E0,1.223825043E1
3.164703125E0,-9.641450500E-1,2.820584564E0,1.243299545E1
3.174717125E0,-9.851014709E-1,2.898422699E0,1.259914993E1
3.184730125E0,-1.048270111E0,2.988684998E0,1.267848495E1
3.194744125E0,-1.135089569E0,3.067570953E0,1.289792862E1
3.204758125E0,-1.197210388E0,3.134481812E0,1.299193314E1
3.214771125E0,-1.084644470E0,3.069217529E0,1.308429108E1
3.224785125E0,-8.581654358E-1,2.899470520E0,1.320718552E1
3.234799125E0,-6.640191650E-1,2.578088837E0,1.338965607E1
3.244812125E0,-5.336402893E-1,2.146536255E0,1.358574829E1
3.254826125E0,-4.086502075E-1,1.673070831E0,1.372915009E1
3.264840125E0,-3.122506714E-1,1.293909302E0,1.362915802E1
3.274853125E0,-1.454974365E-1,9.434880066E-1,1.319027069E1
3.284867125E0,-2.395019531E-3,7.042854309E-1,1.262085480E1
3.294881125E0,-4.894821167E-2,6.351292419E-1,1.202404587E1
3.304894125E0,-2.058219910E-1,6.947053528E-1,1.140792709E1
3.314908125E0,-3.272195435E-1,8.262817383E-1,1.067295547E1
3.324921125E0,-4.507127380E-1,9.791139221E-1,9.927655334E0
3.334935125E0,-5.647755432E-1,1.121018829E0,9.235943756E0
3.344949125E0,-6.242019653E-1,1.252146149E0,8.625812531E0
3.354962125E0,-6.119274902E-1,1.342707825E0,8.064629517E0
3.364976125E0,-5.766009521E-1,1.373244324E0,7.635022888E0
3.374990125E0,-5.096900940E-1,1.394051056E0,7.345824280E0
3.385003125E0,-4.700225830E-1,1.411115570E0,7.110064545E0
3.395017125E0,-4.531077576E-1,1.460213470E0,7.006929016E0
3.405031125E0,-3.701802063E-1,1.461410980E0,7.010072479E0
3.415044125E0,-2.778222656E-1,1.463356934E0,7.035968628E0
3.425058125E0,-2.148033142E-1,1.453178101E0,7.009773102E0
3.435072375E0,-2.204914856E-1,1.432820435E0,6.960076447E0
3.445085375E0,-2.568658447E-1,1.462458801E0,6.842570801E0
3.455099375E0,-2.945874023E-1,1.526375885E0,6.694079590E0
3.465113375E0,-4.206253052E-1,1.683399353E0,6.631509705E0
3.475126375E0,-5.137316895E-1,1.914219360E0,6.536157990E0
3.485140375E0,-5.298980713E-1,2.107766876E0,6.453380127E0
3.495153375E0,-5.519023132E-1,2.313888245E0,6.492748260E0
3.505167375E0,-5.490582275E-1,2.480192413E0,6.510411530E0
3.515181375E0,-5.728587341E-1,2.606978760E0,6.649472351E0
3.525194375E0,-6.024971008E-1,2.670297089E0,6.823111267E0
3.535208375E0,-6.134243774E-1,2.705024872E0,7.086563416E0
3.545222375E0,-6.453080750E-1,2.794987793E0,7.297175446E0
3.555235375E0,-6.906637573E-1,2.840193787E0,7.583679657E0
3.565249375E0,-7.069798279E-1,2.920426941E0,7.815098419E0
3.575263375E0,-6.861730957E-1,2.987637177E0,8.108188934E0
3.585276375E0,-7.027885437E-1,3.005150757E0,8.484057312E0
3.595290375E0,-6.517446899E-1,3.019071808E0,8.760682068E0
3.605303375E0,-5.878276062E-1,3.007845154E0,9.082363129E0
3.615317375E0,-6.503974915E-1,3.048261108E0,9.512418823E0
3.625331375E0,-6.271957397E-1,3.029100952E0,9.824370117E0
3.635344375E0,-5.477110291E-1,3.022963715E0,1.010548553E1
3.645358375E0,-4.972659302E-1,3.049608307E0,1.043045975E1
3.655372375E0,-4.311035156E-1,3.002306671E0,1.083536774E1
3.665385375E0,-2.987786865E-1,2.942580872E0,1.117486176E1
3.675399375E0,-1.657054138E-1,2.801574097E0,1.153336624E1
3.685413375E0,-1.254391479E-1,2.663261719E0,1.190145081E1
3.695426375E0,-9.460327148E-2,2.618355103E0,1.210637466E1
3.705440375E0,-1.761836243E-1,2.741848297E0,1.210817093E1
