"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.985726958E0,1.973252743E-3,-5.310503766E-4,-4.852630664E-3
1.995740958E0,4.459302872E-4,-3.531510010E-4,-4.728793632E-3
2.005754958E0,-2.745239064E-3,1.397673972E-3,-2.038503997E-3
2.015768958E0,3.206392750E-3,-1.798118930E-3,-6.083864719E-4
2.025782958E0,1.536257565E-3,-3.734047990E-3,3.410191275E-4
2.035796958E0,-7.482022047E-4,-3.666404169E-3,1.047966070E-4
2.045810958E0,-1.828391105E-4,-7.210127078E-4,-1.456581056E-3
2.055825958E0,-3.724563867E-4,1.167168375E-3,5.272077397E-4
2.065839958E0,1.202486455E-3,1.427696086E-3,3.921608441E-4
2.075853958E0,1.683186740E-3,-1.408304088E-3,2.949554473E-4
2.085867958E0,-3.158934414E-4,8.645188063E-4,-4.342128523E-4
2.095881958E0,1.333821565E-4,1.885840669E-3,-1.628641039E-3
2.105895958E0,1.723175868E-3,1.528020948E-4,-7.006619126E-5
2.115909958E0,8.560512215E-4,-2.259222791E-3,3.656269982E-4
2.125923958E0,2.047954127E-3,-7.029864937E-4,9.436146356E-4
2.135937958E0,5.083791912E-4,-2.121739089E-5,3.101574024E-3
2.145951958E0,4.247363657E-3,-8.276640438E-4,1.851832028E-3
2.155965958E0,2.208180726E-3,-3.565127030E-3,6.645945832E-4
2.165979958E0,4.070675001E-3,2.212706022E-4,5.742967594E-3
2.175993958E0,-5.610939115E-4,-2.290699631E-4,1.798293088E-3
2.186007958E0,-7.786266506E-4,-3.839316778E-4,2.890958451E-3
2.196021958E0,1.923628151E-4,1.510108821E-3,1.968439668E-3
2.206036458E0,3.669492900E-3,-6.943601184E-4,2.382340608E-3
2.216050458E0,8.619874716E-4,-2.360302024E-4,1.759160776E-3
2.226064458E0,3.959784284E-3,2.435953356E-4,7.626158185E-4
2.236078458E0,-2.581309527E-4,1.248186454E-4,5.213078111E-6
2.246092458E0,3.300448880E-3,4.938477650E-5,4.411006812E-3
2.256106458E0,7.028002292E-4,-8.483664133E-4,1.056489069E-3
2.266120458E0,-2.335179597E-4,1.359805465E-3,2.443581820E-3
2.276134458E0,-6.191451102E-4,-4.173219204E-4,-1.132022589E-5
2.286148458E0,-3.324747086E-4,2.471374813E-3,-1.354312990E-3
2.296163458E0,-1.469377428E-3,9.216815233E-4,2.459804527E-4
2.306177458E0,-8.151587099E-4,1.310929656E-3,1.646500081E-3
2.316191458E0,-3.219023347E-5,8.829594590E-4,-1.044091769E-3
2.326205458E0,3.799926490E-4,-1.155663282E-3,2.725711092E-4
2.336219458E0,2.067370340E-3,-4.986617714E-4,9.839013219E-4
2.346233458E0,2.474719658E-3,-6.705438718E-4,1.644305885E-3
2.356247458E0,1.694876701E-4,1.534553710E-3,2.042714972E-3
2.366261458E0,1.071717590E-3,-2.299406566E-3,8.342578076E-4
2.376275458E0,-7.291119546E-4,7.437872700E-4,4.525665194E-3
2.386289458E0,-3.914725967E-3,1.855888404E-4,1.137844287E-3
2.396303458E0,-1.711193472E-4,-1.291967928E-4,-4.451386631E-4
2.406317458E0,5.206651986E-5,-2.504782751E-4,1.950370148E-3
2.416331458E0,1.637712121E-3,4.099858925E-4,-1.634777524E-3
2.426345458E0,-3.828909248E-4,-5.781836808E-5,-1.278618816E-3
2.436359458E0,3.058034927E-4,-1.511105802E-3,1.430881210E-3
