"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.266120458E0,-1.998344421E-1,-6.105802917E-1,9.620643768E0
2.276134458E0,-2.043251038E-1,-6.036946106E-1,9.616153107E0
2.286148458E0,-2.082170105E-1,-6.084846497E-1,9.624535675E0
2.296163458E0,-2.173480225E-1,-6.212081909E-1,9.636361084E0
2.306177458E0,-2.152523804E-1,-6.185137939E-1,9.641749878E0
2.316191458E0,-2.170486450E-1,-6.192622375E-1,9.642797699E0
2.326205458E0,-2.207908630E-1,-6.258485413E-1,9.638157349E0
2.336219458E0,-2.127076721E-1,-6.258485413E-1,9.637408905E0
2.346233458E0,-2.130070496E-1,-6.102809143E-1,9.635612640E0
2.356247458E0,-1.999841309E-1,-6.090834045E-1,9.623188477E0
2.366261458E0,-1.990859985E-1,-6.044430542E-1,9.627080383E0
2.376275458E0,-1.992356873E-1,-6.017486572E-1,9.621242523E0
2.386289458E0,-2.005828857E-1,-6.038442993E-1,9.627828827E0
2.396303458E0,-2.082170105E-1,-6.087840271E-1,9.640552368E0
2.406317458E0,-2.113604736E-1,-6.165678406E-1,9.636660461E0
2.416331458E0,-2.053729248E-1,-6.177653503E-1,9.638157349E0
2.426345458E0,-2.088157654E-1,-6.212081909E-1,9.647438049E0
2.436359458E0,-2.026785278E-1,-6.117778015E-1,9.633666687E0
2.446373458E0,-1.992356873E-1,-6.057902527E-1,9.634864197E0
2.456387458E0,-1.975891113E-1,-6.026467896E-1,9.622739410E0
2.466401458E0,-1.957928467E-1,-6.111790466E-1,9.617051239E0
2.476415458E0,-2.031275940E-1,-6.002517700E-1,9.621841278E0
2.486429458E0,-2.098635864E-1,-6.150709534E-1,9.634714508E0
2.496443458E0,-2.165995789E-1,-6.209088135E-1,9.637558594E0
2.506457458E0,-2.116598511E-1,-6.159690857E-1,9.631571045E0
2.516471458E0,-2.037263489E-1,-6.066883850E-1,9.638157349E0
2.526485458E0,-2.077679443E-1,-6.204597473E-1,9.648336182E0
2.536500458E0,-2.025288391E-1,-6.150709534E-1,9.632618866E0
2.546514458E0,-1.984872437E-1,-6.033952332E-1,9.629176025E0
2.556528458E0,-2.023791504E-1,-5.977070618E-1,9.636061707E0
2.566542458E0,-1.974394226E-1,-6.086343384E-1,9.622589722E0
2.576556458E0,-2.035766602E-1,-6.134243774E-1,9.629625092E0
2.586570458E0,-2.168989563E-1,-6.140231323E-1,9.633816376E0
2.596584458E0,-2.179467773E-1,-6.168672180E-1,9.638606415E0
2.606598458E0,-2.148033142E-1,-6.192622375E-1,9.640103302E0
2.616612458E0,-2.077679443E-1,-6.128256226E-1,9.637558594E0
2.626626458E0,-2.100132751E-1,-6.135740662E-1,9.634415131E0
2.636640458E0,-2.164498901E-1,-6.126759338E-1,9.632169800E0
2.646654458E0,-2.161505127E-1,-6.135740662E-1,9.635762329E0
2.656668458E0,-2.119592285E-1,-6.102809143E-1,9.625882874E0
2.666682458E0,-2.127076721E-1,-6.134243774E-1,9.629924469E0
2.676696458E0,-2.047741699E-1,-6.167175293E-1,9.637259216E0
2.686710458E0,-2.053729248E-1,-6.194119263E-1,9.637408905E0
2.696724458E0,-2.053729248E-1,-6.165678406E-1,9.645342407E0
2.706738458E0,-2.034269714E-1,-6.116281128E-1,9.628876648E0
2.716752458E0,-2.044747925E-1,-6.120771790E-1,9.617649994E0
