"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
1.256408405E2	1.296304321E-1	5.907764740E0	1.121422989E1
1.256508555E2	4.119433594E-1	5.535339203E0	1.156345367E1
1.256608695E2	5.596861267E-1	4.986430664E0	1.167826492E1
1.256708845E2	6.155200195E-1	4.413871307E0	1.176882660E1
1.256808985E2	6.816824341E-1	3.831881561E0	1.179621964E1
1.256909125E2	6.795867920E-1	3.329526215E0	1.147319138E1
1.257009275E2	5.912704468E-1	3.051254883E0	1.111633347E1
1.257109415E2	2.746788025E-1	3.094365234E0	1.055694672E1
1.257209565E2	8.232879639E-3	3.219355316E0	1.002016296E1
1.257309705E2	2.245330811E-2	3.316054230E0	9.317973175E0
1.257409855E2	1.930984497E-1	3.387755127E0	8.559201050E0
1.257509995E2	3.676354980E-1	3.511697388E0	7.906707916E0
1.257610145E2	5.002597046E-1	3.615431671E0	7.229216766E0
1.257710285E2	6.042933655E-1	3.662134552E0	6.667584686E0
1.257810435E2	6.429130554E-1	3.700155487E0	6.266418915E0
1.257910575E2	5.786965942E-1	3.772305450E0	6.018684082E0
1.258010725E2	4.323010254E-1	3.767515411E0	5.825885010E0
1.258110865E2	3.056643677E-1	3.730242920E0	5.783223724E0
1.258211015E2	1.459465027E-1	3.725452881E0	5.909561005E0
1.258311155E2	-1.215472412E-1	3.644620972E0	6.105054474E0
1.258411305E2	-3.079096985E-1	3.452420654E0	6.339916077E0
1.258511445E2	-3.683839417E-1	3.300037537E0	6.540798340E0
1.258611595E2	-4.400848389E-1	3.257076874E0	6.716532898E0
1.258711735E2	-4.996609497E-1	3.231779480E0	6.831493835E0
1.258811875E2	-5.093907166E-1	3.290307770E0	6.862180023E0
1.258912025E2	-5.316943359E-1	3.416046295E0	6.801705780E0
1.259012165E2	-5.547463989E-1	3.517086182E0	6.668931885E0
1.259112315E2	-5.548960876E-1	3.661835175E0	6.473288727E0
1.259212455E2	-5.043013000E-1	3.842659149E0	6.244714050E0
1.259312605E2	-4.430786133E-1	3.998934174E0	6.120921478E0
1.259412745E2	-4.632865906E-1	4.167184296E0	6.098318481E0
1.259512895E2	-4.894821167E-1	4.356839905E0	6.050717468E0
1.259613035E2	-4.938230896E-1	4.539310455E0	6.111042023E0
1.259713185E2	-5.581892395E-1	4.767136688E0	6.293662262E0
1.259813370E2	-5.944139099E-1	4.963827667E0	6.477180634E0
1.259913520E2	-6.324348450E-1	5.097350006E0	6.718927917E0
1.260013660E2	-6.795867920E-1	5.246889038E0	6.928492126E0
1.260113810E2	-7.360194397E-1	5.450765076E0	7.251071320E0
1.260213950E2	-8.396040344E-1	5.633834381E0	7.669900360E0
1.260314100E2	-8.656498718E-1	5.743705902E0	8.160130920E0
1.260414240E2	-8.327183533E-1	5.864355011E0	8.701105957E0
1.260514390E2	-8.280780029E-1	5.983207855E0	9.314680023E0
1.260614530E2	-8.135581970E-1	6.004763031E0	9.921817474E0
1.260714680E2	-7.426057434E-1	5.989195404E0	1.048135391E1
1.260814820E2	-6.376739502E-1	5.983207855E0	1.093371323E1
1.260914970E2	-5.379812622E-1	5.952521667E0	1.127485382E1
1.261015110E2	-4.076023865E-1	5.856870575E0	1.144579834E1
1.261115260E2	-3.143463135E-1	5.759423218E0	1.142783569E1
1.261215400E2	-4.734654236E-1	5.834566956E0	1.134565659E1
1.261315540E2	-8.017327881E-1	6.044879608E0	1.125404709E1
1.261415690E2	-1.034798126E0	6.249953156E0	1.093416229E1
1.261515830E2	-1.229692841E0	6.457721100E0	1.076725937E1
1.261615980E2	-1.353485413E0	6.561904449E0	1.066966232E1
1.261716120E2	-1.341360626E0	6.499933319E0	1.054886353E1
1.261816270E2	-1.277892609E0	6.364914093E0	1.063777863E1
1.261916410E2	-1.132544861E0	6.056106262E0	1.088970474E1
1.262016560E2	-1.033151550E0	5.570366364E0	1.109537704E1
1.262116700E2	-1.087488556E0	5.053191833E0	1.122141495E1
1.262216850E2	-1.124461670E0	4.428840179E0	1.120195541E1
1.262316990E2	-1.198557587E0	3.857478333E0	1.107382187E1
1.262417140E2	-1.484463043E0	3.637735291E0	1.085407883E1
1.262517280E2	-1.853745117E0	3.587290192E0	1.046653473E1
1.262617430E2	-2.108066254E0	3.620670776E0	1.009231293E1
1.262717570E2	-2.142344971E0	3.677103424E0	9.613009644E0
1.262817720E2	-1.982776794E0	3.671864319E0	9.081914063E0
1.262917860E2	-1.688937836E0	3.691323853E0	8.550219727E0
1.263018010E2	-1.388512573E0	3.747756500E0	8.044421539E0
1.263118150E2	-1.192869415E0	3.791914673E0	7.640561371E0
1.263218300E2	-1.021475830E0	3.699706421E0	7.253915405E0
1.263318440E2	-8.887019348E-1	3.551364899E0	6.864425354E0
1.263418590E2	-8.415499878E-1	3.434458008E0	6.626719666E0
1.263518730E2	-8.436456299E-1	3.329526215E0	6.499783630E0
1.263618880E2	-8.382568359E-1	3.208577728E0	6.429878998E0
1.263719020E2	-8.443940735E-1	3.061284027E0	6.421646118E0
1.263819160E2	-8.484356689E-1	2.939886475E0	6.410269775E0
1.263919310E2	-8.336164856E-1	2.886597290E0	6.513854370E0
1.264019450E2	-8.256829834E-1	2.818638611E0	6.463708649E0
1.264119600E2	-8.515791321E-1	2.815195770E0	6.505022736E0
1.264219740E2	-8.885522461E-1	2.935844879E0	6.487359467E0
1.264319890E2	-9.416917419E-1	3.106490021E0	6.453230438E0
1.264420030E2	-9.232800293E-1	3.232976990E0	6.466702423E0
1.264520180E2	-8.587641907E-1	3.367696838E0	6.431824951E0
1.264620320E2	-8.147557068E-1	3.622317352E0	6.434519348E0
1.264720470E2	-6.843768311E-1	3.899690552E0	6.496939545E0
1.264820610E2	-5.300477600E-1	4.076772308E0	6.572532349E0
1.264920760E2	-3.805087280E-1	4.260140991E0	6.695576477E0
1.265020900E2	-2.948867798E-1	4.382736053E0	6.912625122E0
1.265121050E2	-2.751278687E-1	4.529281311E0	7.187154236E0
1.265221190E2	-2.553689575E-1	4.657115479E0	7.395970001E0
1.265321340E2	-1.927990723E-1	4.708907776E0	7.698341217E0
1.265421480E2	-1.878593445E-1	4.755311279E0	8.066725159E0
1.265521630E2	-2.353106689E-1	4.910987549E0	8.444838867E0
1.265621770E2	-1.965412903E-1	5.007536774E0	8.969348145E0
1.265721920E2	-1.411564636E-1	5.068011017E0	9.410181427E0
1.265822060E2	-1.522334290E-1	5.224585419E0	9.841584320E0
1.265922210E2	-1.178050232E-1	5.310207367E0	1.021640488E1
1.266022350E2	2.305206299E-2	5.239853668E0	1.049976562E1
1.266122500E2	1.124162292E-1	5.156926117E0	1.066981201E1
1.266222640E2	-2.948867798E-2	5.237758026E0	1.085901855E1
1.266322790E2	-2.966830444E-1	5.459447021E0	1.092922256E1
1.266422930E2	-3.550616455E-1	5.581443329E0	1.078597046E1
1.266523080E2	-3.052153015E-1	5.597310333E0	1.056428146E1
