"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.920466792E0,6.444894522E-2,-4.278736562E-2,6.642062217E-2
1.930479792E0,6.163692847E-2,-2.563112229E-2,6.059137732E-2
1.940492792E0,6.572115421E-2,-9.171719663E-3,6.216557324E-2
1.950506792E0,6.174580380E-2,4.116436467E-4,6.481949985E-2
1.960519792E0,5.575422570E-2,1.136948634E-2,6.827761233E-2
1.970532792E0,6.590758264E-2,3.309584036E-2,7.094015926E-2
1.980545792E0,7.933309674E-2,4.624173790E-2,7.784413546E-2
1.990559792E0,9.034582227E-2,6.624723226E-2,7.770900428E-2
2.000572792E0,8.494120091E-2,7.942108810E-2,7.527540624E-2
2.010585792E0,7.090759277E-2,6.450158358E-2,6.805428863E-2
2.020598792E0,6.299826503E-2,4.472521693E-2,5.229769275E-2
2.030612792E0,5.198792741E-2,2.344916575E-2,3.123897873E-2
2.040625792E0,4.975007102E-2,1.758302003E-2,1.971388236E-2
2.050638792E0,5.056539923E-2,3.140765801E-2,2.038727328E-2
2.060651792E0,4.326860607E-2,3.863814101E-2,1.972308196E-2
2.070665792E0,2.548361942E-2,4.115778953E-2,1.339607500E-2
2.080678792E0,2.676576376E-3,3.644159436E-2,6.571191829E-3
2.090691792E0,-2.114778012E-2,2.940994687E-2,-7.265644148E-3
2.100704792E0,-4.252231121E-2,3.119666316E-2,-1.050990727E-2
2.110718792E0,-4.818832502E-2,3.695225343E-2,-7.883626968E-3
2.120731792E0,-4.158341885E-2,3.478976712E-2,-8.184831589E-3
2.130744792E0,-3.091840073E-2,3.749115020E-2,1.981233712E-3
2.140757792E0,-2.327619493E-2,3.749328107E-2,1.025833841E-2
2.150771792E0,-2.637241036E-2,3.220201284E-2,1.379805245E-2
2.160784792E0,-2.934662811E-2,2.828264050E-2,1.818933897E-2
2.170797792E0,-3.253207728E-2,2.149528638E-2,2.387314849E-2
2.180810792E0,-2.751814201E-2,1.951096579E-2,3.149964288E-2
2.190824792E0,-2.443307266E-2,2.105171978E-2,4.535827041E-2
2.200837792E0,-2.569088340E-2,5.490870681E-3,5.237410218E-2
2.210850792E0,-3.426326811E-2,-1.035801787E-2,4.917731136E-2
2.220863792E0,-4.100558907E-2,-2.472417429E-2,4.895147309E-2
2.230877792E0,-3.503981233E-2,-3.317029774E-2,4.423518479E-2
2.240890792E0,-3.100485727E-2,-2.273390442E-2,3.257985786E-2
2.250903792E0,-3.377141058E-2,4.498901777E-3,3.972438350E-2
2.260916792E0,-3.535359725E-2,5.026958510E-2,5.685303733E-2
2.270930792E0,-3.805391490E-2,8.032385260E-2,6.504372507E-2
2.280943792E0,-5.018088594E-2,7.876297832E-2,5.316656083E-2
2.290956792E0,-5.480092391E-2,6.177483872E-2,4.343232512E-2
2.300969792E0,-5.840764195E-2,4.240326956E-2,3.095248528E-2
2.310983792E0,-6.096554548E-2,2.648717538E-2,1.771089435E-2
2.320996792E0,-6.856008619E-2,6.851421669E-3,9.353894740E-3
2.331009792E0,-6.988260895E-2,1.221232582E-3,8.507009596E-3
2.341022792E0,-6.004675478E-2,9.765186347E-3,1.427355129E-2
2.351036792E0,-4.888883233E-2,2.187921666E-2,2.517344430E-2
2.361049792E0,-3.552455828E-2,3.268552572E-2,2.717001736E-2
2.371062792E0,-2.909944579E-2,3.385619074E-2,2.897507325E-2
2.381075792E0,-2.938493714E-2,1.980109327E-2,2.519658022E-2
2.391089792E0,-2.414065599E-2,7.707153447E-3,3.039955907E-2
2.401102792E0,-1.943378523E-2,-1.308014989E-2,2.904986963E-2
2.411115792E0,-1.029350236E-2,-2.493206412E-2,2.425449900E-2
2.421128792E0,-7.741395384E-3,-2.170218155E-2,2.494851872E-2
2.431142792E0,-7.714012638E-3,-9.658157825E-3,2.879595757E-2
2.441155792E0,-1.053643133E-2,2.293014526E-2,2.850141376E-2
2.451168792E0,-2.568256855E-2,3.158686683E-2,2.300737984E-2
2.461181792E0,-2.748579346E-2,3.562688455E-2,1.422187686E-2
2.471195792E0,-3.288315237E-2,2.539210767E-2,7.513553835E-3
2.481208792E0,-3.674526885E-2,1.262731012E-2,-3.153407015E-4
2.491221792E0,-3.249218315E-2,1.375858299E-2,-1.392978244E-3
2.501234792E0,-2.701645531E-2,2.186764404E-2,5.054268055E-3
2.511248792E0,-1.209545508E-2,3.115158714E-2,9.906725958E-3
2.521261792E0,4.089640453E-3,4.077837989E-2,1.243033819E-2
2.531274792E0,8.898220956E-3,4.460119829E-2,1.367194392E-2
2.541287792E0,7.881693542E-3,4.458175600E-2,1.220534090E-2
2.551301792E0,6.975201890E-3,3.364820033E-2,1.104747225E-2
2.561314792E0,1.132440940E-2,1.535095181E-2,1.238997094E-2
2.571327792E0,1.733809337E-2,3.225312801E-3,1.499773934E-2
2.581340792E0,2.893216535E-2,6.335352547E-3,2.500776201E-2
2.591354792E0,2.944748662E-2,7.854854688E-3,3.715774789E-2
2.601367792E0,2.813002281E-2,2.428895608E-2,4.243905842E-2
