"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.703930792E0,-2.077679443E-1,4.387975159E0,8.741970978E0
1.713943792E0,-2.173480225E-1,4.378844147E0,8.779991913E0
1.723957792E0,-2.561174011E-1,4.383783875E0,8.804241486E0
1.733970792E0,-2.469863892E-1,4.370461578E0,8.775201874E0
1.743983792E0,-2.180964661E-1,4.352947998E0,8.768166504E0
1.753996792E0,-2.327659607E-1,4.331991577E0,8.757538605E0
1.764010792E0,-2.195933533E-1,4.345164185E0,8.717422028E0
1.774023792E0,-2.165995789E-1,4.338128815E0,8.713230743E0
1.784036792E0,-2.254312134E-1,4.345613251E0,8.713530121E0
1.794049792E0,-2.008822632E-1,4.328399048E0,8.745862885E0
1.804063792E0,-1.610650635E-1,4.318968658E0,8.750952301E0
1.814076792E0,-1.661544800E-1,4.304149475E0,8.736582184E0
1.824089792E0,-2.168989563E-1,4.329895935E0,8.684041443E0
1.834102792E0,-2.727328491E-1,4.353247375E0,8.603059845E0
1.844116792E0,-3.207829285E-1,4.389022980E0,8.551566925E0
1.854129792E0,-3.568579102E-1,4.415368195E0,8.551267548E0
1.864142792E0,-3.710783386E-1,4.450095978E0,8.547076263E0
1.874155792E0,-3.718267822E-1,4.447102203E0,8.576714630E0
1.884168792E0,-4.156855774E-1,4.441563721E0,8.643176422E0
1.894182792E0,-5.032534790E-1,4.450844421E0,8.673263855E0
1.904195792E0,-5.578898621E-1,4.452341309E0,8.649313660E0
1.914208792E0,-5.182223511E-1,4.440515900E0,8.623417511E0
1.924221792E0,-4.567002869E-1,4.435725861E0,8.635542297E0
1.934235792E0,-3.498225403E-1,4.428241425E0,8.673862610E0
1.944248792E0,-2.914439392E-1,4.413571930E0,8.693172455E0
1.954261792E0,-2.636018372E-1,4.412524109E0,8.678053894E0
1.964274792E0,-2.329156494E-1,4.399950256E0,8.669371948E0
1.974288792E0,-2.007325745E-1,4.416416016E0,8.668623505E0
1.984301792E0,-2.110610962E-1,4.450095978E0,8.692274323E0
1.994314792E0,-2.149530029E-1,4.491859131E0,8.662486267E0
2.004327792E0,-2.089654541E-1,4.537514191E0,8.579259338E0
2.014341792E0,-2.492317200E-1,4.573888550E0,8.533304901E0
2.024354792E0,-2.390528870E-1,4.605023804E0,8.471633148E0
2.034367792E0,-2.826123047E-1,4.637057190E0,8.475824432E0
2.044380792E0,-2.694396973E-1,4.625680847E0,8.470884705E0
2.054394792E0,-2.486329651E-1,4.604574738E0,8.463699646E0
2.064407792E0,-2.665956116E-1,4.577930145E0,8.534652100E0
2.074420792E0,-2.923420715E-1,4.568948822E0,8.554411011E0
2.084433792E0,-2.992277527E-1,4.581522675E0,8.532107391E0
2.094447792E0,-3.043171692E-1,4.572541351E0,8.518336029E0
2.104460792E0,-3.062631226E-1,4.537663879E0,8.499624939E0
